day,hour,users_qty
Monday,0,105
Monday,3,98
Monday,6,120
Monday,9,154
Monday,12,168
Monday,15,120
Monday,18,92
Monday,21,96
Tuesday,0,106
Tuesday,3,94
Tuesday,6,119
Tuesday,9,150
Tuesday,12,169
Tuesday,15,124
Tuesday,18,90
Tuesday,21,94
Wednesday,0,99
Wednesday,3,92
Wednesday,6,117
Wednesday,9,151
Wednesday,12,155
Wednesday,15,123
Wednesday,18,91
Wednesday,21,97
Thursday,0,101
Thursday,3,96
Thursday,6,121
Thursday,9,150
Thursday,12,157
Thursday,15,121
Thursday,18,98
Thursday,21,93
Friday,0,103
Friday,3,96
Friday,6,119
Friday,9,148
Friday,12,168
Friday,15,125
Friday,18,97
Friday,21,94
Saturday,0,107
Saturday,3,102
Saturday,6,108
Saturday,9,146
Saturday,12,161
Saturday,15,128
Saturday,18,94
Saturday,21,94
Sunday,0,112
Sunday,3,106
Sunday,6,110
Sunday,9,141
Sunday,12,163
Sunday,15,124
Sunday,18,92
Sunday,21,97
